% f (Hz),Material Switch 2 index,Time (s),Coil current A (A),Coil current B (A),Coil current C (A),Coil voltage A (V),Coil voltage B (V),Coil voltage C (V),Axial torque (N*m),Rotor Losses (W),Stator Losses (W),Coil Losses (W)
50,1,0.001988079303562417,2.0674082991591014,1.4501169376620524,-3.517525236821153,626.6657883996231,-444.7931247804572,-133.33553284928283,2.9183901615284586,1.3464139417878673,11.508510749770384,574.883157540106
50,1,0.002015857081340195,2.0923578892968324,1.4219233318634354,-3.5142812211602665,630.2602759264183,-437.6166439763167,-132.21760912869985,2.901749683639595,1.346310575708772,11.513903726847332,574.8831575401061
50,1,0.0020436348591179724,2.1171481382804003,1.393621441097897,-3.5107695793782967,634.0527771691794,-456.4086390639076,-126.09399008501201,2.905431720172195,1.3463727817652031,11.51715840810886,574.8831575401063
50,1,0.00207141263689575,2.1417771582363665,1.3652134206639943,-3.5069905789003593,634.0931750162247,-470.27230643031754,-128.43868333134736,2.920618592046539,1.3461294883373653,11.52040267517157,574.8831575401063
50,1,0.0020991904146735276,2.166243073569505,1.3367014339424679,-3.502944507511973,626.8755774112938,-470.7422673874977,-125.97381328277399,2.925596084956978,1.34591837966191,11.523571520882104,574.8831575401065
50,1,0.0021269681924513052,2.19054402110564,1.3080876522314984,-3.4986316733371385,631.313305250474,-491.1521356689221,-110.66966993829804,2.9374504428738235,1.3455673970285742,11.523913881498105,574.8831575401061
50,1,0.002154745970229083,2.214678150233532,1.2793742545813438,-3.494052404814876,616.6040309297975,-506.4048220314537,-110.86895724348045,2.969275120591981,1.344736894021159,11.522798833906625,574.8831575401061
50,1,0.0021825237480068605,2.238643623045809,1.2505634276284041,-3.4892070506742123,588.8534382624576,-501.473344374968,-103.49444296357993,2.9876152103615365,1.3440643574205096,11.519313316720806,574.8831575401064
50,1,0.002210301525784638,2.262438614478929,1.2216573654286973,-3.4840959799076265,590.7171249175701,-500.1710592691763,-98.28737847340575,2.9245937061044893,1.3438758656040466,11.515935413049647,574.8831575401063
50,1,0.0022380793035624157,2.28606131245217,1.1926582692907743,-3.478719581742944,583.5746784501216,-508.57908555262986,-103.1286454237033,2.8576944093082273,1.3435330181221385,11.512777336279484,574.8831575401063
50,1,0.0022658570813401933,2.3095099180056216,1.1635683476080807,-3.473078265613701,572.8730283057916,-500.7785600783537,-101.22081076475938,2.7744562441170073,1.3434671739110349,11.510015904566155,574.8831575401059
50,1,0.002293634859117971,2.3327826454371854,1.1343898156907788,-3.467172461127963,587.9401033174302,-496.5996176014043,-97.75546473501598,2.750782549592383,1.343802511882074,11.509242021324276,574.8831575401063
